title,date,content
근데 lg이어폰으로 이렇게까지 갤이 불탈수 있다는것에 놀랐음,2021-11-20 01:48:48,"난 그냥 성능은 진짜 좋긴했지만 그냥 묻힐줄 알았는데 말임

뭐 어차피 단종 재고처리 느낌이니 더 나올지는 모르겠음"
t1.3 개좋다 [2],2021-11-20 01:48:41,"올려치기 간다
딱 대라
- dc official App"
쿠팡에서 물건산다고 ㅈ되진 않겠지? [2],2021-11-20 01:48:05,막 품질 씹창이고 어디 하나 하자있고 그럴일 있나
엑칼 파는 이 아저씨 유명함? [2],2021-11-20 01:47:47,"글 쓴 거 보면 믿음이 가는데

왜 신입회원이냐 ㅋㅋ"
수능 끝난 수붕이 로지텍 G431 머리가 너무 아프다 [2],2021-11-20 01:47:24,"겜좀 오래 하면 머리 쥰내 아픈데
무조건 가벼운거로 사야하냐? 추천좀 지금 쓰는 G431 350g 이던대
- dc official App"
매스드랍 58x 6xx 할인중임? [1],2021-11-20 01:46:11,하나 살까 58x 갖고싶었는데
오딘같은제품이 백만원근접하면 갓성비소리듣는게가능 그정도고가에도 저렴 ㅇㅇ,2021-11-20 01:46:01,ㅇㄱㄹㅇ
예전에는 고가 돈값몬한다 소리 수두룩 빽빽 차이파이 덕에 많이 변했을따름,2021-11-20 01:44:33,ㅇㄱㄹㅇ
백만원까지는 갓성비 이어폰소리듣는게가능한 고게스피커대체 음감용일따름 ㅇㅇ,2021-11-20 01:43:41,ㅇㄱㄹㅇ
뉴하나로 러브라이브 들으니까 ㄹㅇ 감탄밖에 안나옴.. [1],2021-11-20 01:41:53,ㅇㄱㄹㅇ
백만원근접 수십만원짜리 이어폰이 갓성비라는 소리듣는건 대단한일일따름 ㅇㅇ,2021-11-20 01:41:56,"지금까지 러브라이브 노래 스피커는 e3.5, bs22 헤드폰은 560s, ksc75로 들어본 적 있는 것 같은데 믹싱 안 ㅈ같다고 생각해본 적이 없음. 근데 뉴하나로 들으니까 존나 찰떡궁합이네 ㅋㅋㅋㅋㅋ 물론 내가 3만원 이상 이어폰은 뉴하나가 처음이라 이런걸 수도 있음.
- dc official App"
이어폰 샀던거 성능 하자 있는거 같은데 as센터 가면 고쳐줌? [1],2021-11-20 01:41:31,ㅇㄱㄹㅇ
뉴하나 팔사람?,2021-11-20 01:41:23,소니 이어폰인데
QCY T5 어디서 사야 불량 안걸릴수있을까요..? [2],2021-11-20 01:39:43,"미개봉구함

- dc official App"
엑칼 35 솔직히 아무도 안 사지? [7],2021-11-20 01:39:04,어디서 사야합니까 호갱좀 살려주세요
그러고 보니 BA 드라이버 쓴 이어폰중에 thd 측정치 나와있는게 머있나 [2],2021-11-20 01:38:26,"노박스인데 35는 안 사겠지?

30에 입 벌리고 있어야겠다

이거 파는 아저씨 혹시 이헤갤한다면

30에 팔 생각있으면 댓글주세요"
다들 자란말임 [2],2021-11-20 01:38:11,라고는 하나 사실 thd 1% 미만이면 단일음 기준으로 청감이 많이 까다로운 건 사실이라 큰 의미가 있나 싶기도 하고?
LG 번들 1일차 후기 [13],2021-11-20 01:37:41,내일도 놀아야지
축귀 [2],2021-11-20 01:37:11,"고음 너무 쏴서 못듣겠다 ㅅㅂ
- dc official App"
아 엑칼 사고싶다,2021-11-20 01:36:14,- dc official App
엘지번들 나는 좆밥이니까 좆밥 입장에서 정리한다 [10],2021-11-20 01:33:56,"나중에 고장났을 때를

대비해서 하나 사둘까 고민이다"
6읍읍 끌리는데 [5],2021-11-20 01:33:30,"언더이어로 나온새끼가 언더이어 삼성번들보다 ㅎㅌㅊ

쉘 모양때문에 깊게 박아넣고싶어도 얕게 착용되는데 시발 디락처럼 일정거리 유지해야하는줄

저음 우웅 하는 부분 울림이 그냥 쭉 이어지는 느낌인데 살짝 불쾌하고 고음은 하이햇?좀 고음에서는 이부분을 사람에 따라 시원하다 생각할수도 있겠는데 나는 목졸라서 소리 내는듯한 그런 소리로 들렸음

이게 uapp말고는 사용중인 어플로는 이 부분을 제어할수가 없었음

번들은 옛날 갤5번들 이런거나 기억하고 있었고 쿼빗은 안들어봐서 몰랐는데 상당히 많이 올라왔다는 느낌

아무튼 불만은 있지만 가격이 용서하는 이어폰임

그리고 머 깊게 박으면 해결된다고 해서 깊게 박아봤는데 유닛에 귀지묻으니까 그냥 하지말자...

귀지 자주파는거 아니래서 나도 너무 갑갑할때 파주고 그냥 적당히 파는중

이런거로 싸운다니 아주 갤 주제에 맞는 싸움을 하는구나"
알리익스프레스 블랙 프라이데이 [7],2021-11-20 01:33:10,알칠공이랑 겹칠듯
Wf 1000xm4쓰는데 요즘 노캔 성능 저하된거 같은데 [1],2021-11-20 01:32:17,"좆나 맨날 하네












- dc official App"
네캅가니 좋타카네 [4],2021-11-20 01:30:08,기분탓이냐? 예민해진건가? 예전에는 진짜 아무 소리도 안들린거 같은디ㅣㅣ
아무리 엑칼이 병신소리 들어도 5005보다는 좋다 [4],2021-11-20 01:29:37,"뭐시빠 다좋데 씌발

좋아죽어요씌바아주그냥












- dc official App"
헤드폰 추천좀 [4],2021-11-20 01:29:05,"5005ㅋㅋㅋ

그딴 걸 비비지마라"
나안그래도 운전 죳밥인데 ㅅㅂ [1],2021-11-20 01:28:47,MTW2처럼 중저역 강한 먹먹한 소리 극혐하고 에어팟프로/맥스처럼 펀-플랫 취향임
이거면 대충 종결가능한데 종결 못하고 있음 [5],2021-11-20 01:28:23,이와중에도 택시는 스피드레이서하는게 ㅈㄴ신기
코로나 풀렸다고 문세먼지 실화냐... [1],2021-11-20 01:27:56,스피커는 이거쓰고 헤드폰은 레퍼런스급 이어폰은 lg usb c나 디렘프로2만해도 종결가능한데 아직 종결 못하는 내가 한심스럽네
xm4 이어폰 24만 살만함? [4],2021-11-20 01:27:00,흐와악
무슨 안개가 이래심해 [7],2021-11-20 01:25:40,"정확히는 23.4인데 ㄱㅊ?
지금 뭐 메가클럽하면 엄청싸게살수있던데
수험생만 되는거아니냐 ㅅㅂ..
걍 23.4에 사도 돈값은 하지?"
탈갤은 있어도 종결은 못봤다 [13],2021-11-20 01:25:32,운전몬하겠어서 걍 세움 집에 어케가
엑칼 바이럴 조심 ㅋㅋ,2021-11-20 01:25:00,"몇개월 좀 안듣다가 장터 기웃거리는거

츠쿠요미 ㄹㅇㅋㅋ


















- dc official App"
종결은 없다. [5],2021-11-20 01:24:59,중고 적정가 23
엑칼오너가 2명이나있었누.. [7],2021-11-20 01:24:46,"ㅇㄱㄹㅇ 종결은 없다네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

비싼거 사면 종결할것 같지만 절대 종결못해 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

다들 종결한다고 좋은거 사지만 종결 못하고 있기 때문에 여기 있는거라고 봄."
팟3 듣다가 xm4 들으니까 [1],2021-11-20 01:23:30,"대통령 2명인 급으로 놀랍도다
- dc official App"
됬고 xm4로 종결해라 [1],2021-11-20 01:23:00,"그냥 웃음만 나오네ㅋㅋㅋ

귀가 뻥 뚫리는 느낌임

소니는 도대체 뭔 칩을 개발한거냐"
막귀가 지를 큰거 [7],2021-11-20 01:22:12,xm5 나오면 숨 만 붙어있는 유선은 인공호흡기까지 때버리는꼴이누
560s 잘쓰고 있는데 괜히 6xx마렵네 [8],2021-11-20 01:21:27,이거 아니면 없다캄 ㅇㄱㄹㅇ
서울 살 이상 여자소 개해드림ㅋㅋ,2021-11-20 01:20:22,"정리하고 넘어갈까.ㅈ.
- dc official App"
뉴하나 이거 아무리 들어봐도 씹덕 타겟인 것 같음 [8],2021-11-20 01:20:16,"ㅤ
댓신 청서 댓 글썻으니 타고들어가서 작 성하셈 매니저가 프로필 줜나준다 ㅋㅋ                             ㅤ"
만약 내가 한번에 큰거 가게되면 [3],2021-11-20 01:20:06,"아이유 노래가 살짝 러브라이브 느낌으로 들리는 것 같길래 다른 대역대가 좀 비어서 그런가보다 생각하고 저음강조 팁으로 바꿨는데도 숨소리도 잘 들리고 먼가 씹덕같은 느낌으로 들림. 고음의 절대적인 양은 많은 것 같진 않은데 악기든 보컬이든 먼가 앵앵거리는 느낌으로 들려서 오래 듣질 못하겠음.
- dc official App"
엘지 이어폰 DAC 바이패스 안되나? [6],2021-11-20 01:20:00,"디시에 먼저 올려볼까.. 근데 사긴하냐 ㅋㅋ
- dc official App"
삼성번들써라 [4],2021-11-20 01:19:45,"몬가 저걸 c타입으로 연결하면 우선권이 이어폰에 붙어있는 DAC로 갈 거 같은데 그걸 바이패스 할수 있으면 드라이버 자체 성능인지

이어폰에 들러붙어있는 덱앰의 도움을 받은건지 알 것 아녀?

누가 줄로 덱 윗쪽 잘라내서 다시 3.5단으로 납땜하고 체크해보면 될텐데 아무도 안하겠지"
아 ㅋㅋ 한국은 제네렉과 노이만 사운드 보유국이네 [3],2021-11-20 01:19:21,"싸다 야











- dc official App"
그래도 lg c번들이 ksc75급 가성비는 나온다고 봄. [2],2021-11-20 01:19:02,"노이만 사운드의 엘지 번들과 제네렉 사운드의 디렘 ㅋㅋ

둘이 싸우면 용호상박이네"
음부 하지마루용,2021-11-20 01:18:01,최소한 이어폰 계의 ksc75는 될듯함
ㅋㅋㅋ 드랍 쿠폰 안먹네 [5],2021-11-20 01:17:19,임마가 필수품이라캄 
음잘알 = 엘번들/코스 제품 소유 [1],2021-11-20 01:16:40,"pc38x 게이밍으로 살랬드만 쿠폰 다나갔노
- dc official App"
