title,date,content
적어도 애플꼬다리는 인간적으로 추천하지말자 [9],2021-11-09 19:13:18,"적어도 애플뮤직 최고해상도 무손실 24비트 192hz까지는 커버되는걸 추천해야지

애플꼬다리는 무손실까지밖에 커버안되자늠

비상용으로 아이폰용 꼬다리덱으로 텐치짐 스타게이트 주문한거 국내에 오늘 도착했고 대한통운으로 배송되서 내일 도착예정임

오디오칩셋은 시러스로직 싸구려 저가라인 썼다던데 그래도 위에 말한 애플뮤직 최고해상도 무손실은 커버침"
삼꼬 애꼬 '싸'고구린거맞음 [19],2021-11-09 19:10:29,"박사님이  디렘프로 2에 제공할 DAC로넣을려다가 구려서 안넣음
S9 PRO ibasso 소나타 메이주같은거보다 가격이 또이해도
더좋은거나 나은게많음


JM20 하이파이 모듈 Fiio ka3 퀘스타일 M12 etc



꼬다리문제점은 CS류 톤재생 문제 아이바쏘 메이주 ETC 등등
노이즈 함유나 설계문제등

검증한 DAC Hiby fd3 소캐덱 퀘스타일M12 FiiO ka3 JM20 하이파이모듈등

히디즈는 밸단성능에만 집착함"
1시간반뒤에 드디어 akg k3003이 내손에 들어온다 ㅎㅎ,2021-11-09 19:08:52,"미개봉 42만원 ㅎㅎ

판매자가 내가 사는곳까지 온다고하고 나도 평소에 중고로 많이 파는 판매자입장일때가 많은데 네고충 싫어해서 나도 똑같은 네고충 되기싫고해서

굳이 몇만원때문에 실랑이벌이고 기싸움하고 싶지않아서 걍 쿨거래하기로 맘먹음

삼성정품이래. 판매자가 구매는 3년전에 했고"
머림머 이어팟 삼번들 리뷰 [2],2021-11-09 19:08:01,"https://youtu.be/jdieMJtSg-g

떡 하니 있는데 이어팟을 못들어봐?

이어팟 내려치기 그만 해라 ㅎㅎ"
모멘텀3 아예 23만원으로 내려온거임 아님 언제까지함? [2],2021-11-09 19:07:37,"모멘텀3 23만이던데 일시세일임 아니면 세일기간 정해져있는거임?

사고싶은데 아직 버즈프로가 안팔림 ㅋㅋ "
간호사들 중에서 ㅈㄴ 괘씸한 새끼 있더라 ㅋㅋ [8],2021-11-09 19:07:27,"자기는 꼭 나중에 의사랑 결혼한다는 망언을 하는

몇몇 골빈년 있더라 ㅇㅇ

시발 의사가 빠가사리도 아니고 미쳤다고 간호사따위랑 ㅋㅋ

대부분 의사끼리 하거나 못해도 약사랑 결혼하는게 현실인데"
근데 다행인건 [4],2021-11-09 19:06:24,"내 귀는 커널형 최적화임 ㅇㅇ
고막이 튼튼해서 이압 별 반응 없고 고역대도 아주 잘버팀 ㅇㅇ
오아아"
dx3 pro 삿으면 좆될뻔했네 [5],2021-11-09 19:04:34,고맙다 클리어 게이야 ㅋㅋㅋㅋㅋ
오예 [20],2021-11-09 19:04:02,예아
아니 내가 안구할땐 하루에 세개씩올라오더니 구하니까 매물끊긴거보소 [1],2021-11-09 19:03:42,진짜 장터의법칙 화나넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
버즈 프로 착용감이 개같은데 어떡하냐? [2],2021-11-09 19:03:42,"착용감 개구린데다가 커널형 자꾸 귀에 땀차서 오픈형으로 가야 할 것 가틈
에어팟 2세대 같은 거 저렴하게 사면 대체품이 되려나
디자인도 이쪽이 취향이고 내가 삼성폰만 아니었어도 바로 에어팟 사는 건데 고민되네"
오픈형특 [7],2021-11-09 19:03:16,"난 착용조차 못함 ㅇㅇ
ㅋㅋㅋㅋㅋㅋ
오아아"
일단 번들 이어폰이 HD600하고 비슷하다는게 사기지 [4],2021-11-09 19:03:11,"FR이 HD600하고 거의 비슷함 거의 ㅇㅇ
머림머도 추가 라이브방송에서 이어팟으로 모니터링하는 거에 대해서 다시 얘기한적도 있고
극저음 극고음은 적지만 가청 주파수 내에서 플랫해서 엔지니어들이 좋아할 사운드라고 하더라고"
난 의사보다 약사가 더 부럽다 [11],2021-11-09 19:01:54,"의사가 더 대우받고 돈도 많이벌지만 그만큼 공부도 많이하고 시간도 의사되는데 오래걸리고 그만큼 바쁨

내가 약국에서 약살때마다 약국은 사람 간간히 와서 시간 널널하고 여름엔 에어컨, 겨울엔 보일로 켠 환경에서 편하게 일하고

육체적으로 힘든것도 없이 꿀빠는걸로 보임"
오랫만에 이헤갤 놀러와봤어요~ [4],2021-11-09 19:01:15,https://youtu.be/Ucxek489xCs
Qcy 베스트 시리즈 추천해줘 [4],2021-11-09 19:00:00,여친 선물해주게
머야 짱깨 댁앰 직구는 쿠팡이 젤 싸네? [18],2021-11-09 18:59:55,"X16+H16 다해서 90이면 사는데..

걍 이거나 살까 ㄷㄷ"
