title,date,content
파이널 B1 이어팁 바꾸니까 갑자기 급호감됨 [2],2021-11-17 15:29:09,"아즈라 크리스탈 끼우니까 소리가 풍성충됨 ㄷㄷ

파이널팁은 억제기였던 것이었따 ;;

보컬대역 좀 힘빠지는거 빼면 저음 고음은 다른 회사 플래그십에 비빌만하다캄 ;"
이참에 보고가는 리졸브 형의 R70X 리뷰 [2],2021-11-17 15:28:48,"https://youtu.be/YZgMo4DbUKA

560s와 놀아야 하는 테크니컬 퍼포먼스, 극찬할 만한 밸런스.. 350$는 돈값 못함.

그러니까 560s랑 가격이 비슷하면 살만하다 이거로구먼"
jju950512,2021-11-17 15:27:55,jju950512
뜬금 dt200 리뷰,2021-11-17 15:27:31,"여보컬 노래용 이어폰인것 같음.

아이유짱 숨소리까지 느껴짐.

나머지는 쏘쏘. 나머지는 좋은것도 아니고 나쁜것도 아님. 애매함. 플랫한 튜닝인데, 중고음 조금 강조한듯함.

초간단 리뷰. 이상.

추가: 착용감 매우좋음. 유닛이 작고 가벼워서 그런지 귀에 쏙 들어옴."
아 사이렌 배대지 까지 결제 완료 했다,2021-11-17 15:25:10,"디렘 프로 같은 가짜 가성비 보다 훨씬 좋다고 보증 한다 ㄹㅇ ㅋㅋㅋㅋㅋㅋ
- dc official App"
비엔토 노즐에 파여있는부분 마감 개좆이긴 해 [5],2021-11-17 15:24:17,"디렘 프로 같은 가짜 가성비 보다 훨씬 좋다고 보증 한다 ㄹㅇ ㅋㅋㅋㅋㅋㅋ
- dc official App"
버즈 사려는데 2랑 프로중에 뭐사야되냐,2021-11-17 15:23:56,점마 크랙났다길래 내것도 보는데 마감면 쥰나 거칠고 고르지못함
순흐알 다 쓰는데 확실히 성능은 [6],2021-11-17 15:23:55,"ㅇㅇ
- dc official App"
왜또 알칠공갤됨???????? [1],2021-11-17 15:23:29,순다라짱
엠프 샷,2021-11-17 15:23:09,또 세일함?????????
r70x 할인해서 얼마길래? [1],2021-11-17 15:22:58,"소리가 좋긴 좋음 크기가 커서 굴치 ㅋㅋㅋㅋ
- dc official App"
펀사운드말고 편안한사운드 이어폰 없누 [1],2021-11-17 15:22:54,ㅈㄱㄴ
버즈2에 잘맞는 이어팁 없냐?,2021-11-17 15:22:47,ㅈㄱㄴ
