,tit,body,comment,time,keyword
0,b티비 쓰고 있는데 음악채널 넘 좋아요..응답하라 8090강추요,집콕으로 힘들때 음악틀고 집청소나 요리 만드는데b티비 311번 음악채널 넘좋아요​선곡이 정말 캬..주옥같습니다..괜히  옛날 생각나고..​서지원 내눈물모아노이즈 내가 널 닮아갈때박진영 날떠나지마피아노 오렌지 향기속으로​지금 나오는 노래 써봤어요지금생각해보믄 저희 10 대 20대때가행복한 때였어요..​향수돋네요..그때가 다시 왔으면 좋겠어요즐건저녁되세요..,"[['저도 가끔 틀어 놓는데 반갑네요^^'], ['반가워요^^ 저는 골고루 듣는편인데 요즘 8090이 좋네요^^ 지금 임종환 그냥걸었어 나와요.^^'], ['저도 예전노래가 좋아요 그 시절이 그립네요 그노래 국민학교때 참 많이 불렀는데 어디야? 너네집 앞이야~'], ['지금 노래는 가사도 모르겠어요..늙은거겠죠.ㅋㅋ'], ['왜 예전에 중학교때 주말에 가요프로보면 아빠가 옆에서 저게 노래냐? 그러셨는데 지금 제가 요즘 음악들으면서 이게 노래냐? 이래요^^'], ['ㅋㅋㅋ그렇네요..저희아빠도 그러셨어요'], ['이런 채널이 있는지도 몰랐네요 ㅎ\n정보 감사합니다'], ['우아ㅎ이런게있는지 몰랐어요ㅎㅎㅎㅎ지금 틀었더니 딸아이가 갑자기 춤을ㅎㅎㅎㅎ'], ['저희 딸  옛날노래 좋아해요..히든싱어 팬이여요^^'], ['저희딸도요ㅎㅎㅎ김원준. 자자. 간미연. 채정안. 소방차.슬의생 ost에 빠진 딸이예요ㅎㅎㅎ'], ['6살이예요ㅎㅎㅎ'], ['진짜요?저희 딸이랑 똑같네요..10살이이여요..6살인데 그감성이 나온단 말이에요?대단해요'], ['ㅎㅎㅎㅎㅎㅎ넘웃겨요ㅎㅎㅎㅎ'], ['우와~좋은정보예요~Btv몇년째인데...예태몰랐네요ㅋ']]",2020.12.14. 18:42,요리 + 음악
1,아기 얼집 질문이요,"27갤아이이고 가정얼집인데, 만1세가 저희애밖에 없다면 옮기실건가요?어린이집은 친구가 없다는점 빼고는 원장님, 교사들 모든게 다 너무 좋아요..  반에 저희 애 혼자여도 담임쌤이랑 1대1로 수업하고 교재활동하고요리,음악 활동 다 하더라구요.. 그러고는 동생들이랑 놀아요저희애 언어가 안터지기도 했고 친구들 없이 동생들하고 논다하니생각이 많아지네요ㅜㅜㅜ5세부터 유치원보낼거라 1년다니자고 옮기기도 그렇고 오늘 하루종일 고민이네요ㅜㅜㅠ","[['4살 아이들하고도 놀지않을까요?'], ['가정얼집이다보니 3세되면 다들 관리동 얼집으로 보내더라구요ㅜㅜㅜㅜ그래서 저희애가 젤 형님이에요ㅠㅠㅋㅋㅋㅋㅋ'], ['아..그렇군요.. 그럼  옮기는것도..고려해보셔야할거같네요. 흠...  자극받을게없으니..'], ['역시 옮기는게 답일까요 저 문제빼면 너무 완벽할만큼 저와 아기에겐 좋은 얼집이라 고민이 끝이없네욕ㄲㄱㅋㅋㅋㅋㅋ댓글 감사합니다! 아이를 위해서라도 신중히 더 고민해볼께요!!'], ['물론 저시기엔 사회성이 먼저는아니지만 아이에게 자극받을만한 또래가 없으면 저도 고민이될거같긴하네요ㅠ'], ['혹시나싶어 주변얼집 대기현황봤는데, 4-50명이네요🤣🤣'], ['점점 새친구들 들어오지 않을까요? 원장님이 나갔으면 하면 옮기고 아님 그냥 다닐거같아요'], ['3세부터는 대부분 관리동얼집 보내서 새친구들이 들어올가능성은 적어요ㅜㅠ돌전후로 들어올것같아요ㅋㅋㅋㅋㅋ원장님은 부모선택이지만, 우리애한테 맞춰서 교육하고있다 하시더라구요ㅜㅜㅜ'], ['또래친구가있어야된다고봅니다'], ['새친구들 안 올까요? ㅠㅠ'], ['저도 자리가 없어서 0세만을 넣었는데.. 해가 바뀌고 또래반으로 옮겼는데 후회했습니다. 아이가 발달이 빠른편이 아니라 그동안 자극이 안되었었나봐요. 또래 아이들에게 치이고.. 보내야 한다면 같은 나이가 있는 곳으로 보내는게 좋을거 같아요.'], ['아..지나치려다가 저희 아랑 같은 개월수라서 댓글달아요 언어가 안터졌다면...또래반으로 옮기시는게좋아요..지금 개월수면 명사+동사 조합 말해야된대요..물 주세요 기저귀 넣어 이런거요.'], ['관리동 알아보세요.\n가정은 만1세아가 다니기에는 공간도 좁고, 활동성도 적고....또래가 없죠...']]",2021.06.18. 16:33,요리 + 음악
2,안녕하세요,"- 가입인사 양식 -​1. 닉네임 (반드시 한글 닉네임을 사용해 주세요.)옹이​2. 차를 마시게 된 동기는? 학교 미술선생님이 만화에 나올 것 같이 미술실 개인 책상 한 켠에 보이차를 비롯한 온갖 차들과 다도 세트를 세팅하셨어요. 처음엔 그냥 차를 좋아하시는 선생님이시구나 라고만 생각하고 선생님이랑 친한 친구들이 차 마시는 모습만 종종 보다가 처음 선생님이 주신 차를 마시고, 다시 쉬는 시간이나 방과후에 친구들 따라가서 차를 마시다보니 점점 차에 흥미가 생기더라구요. 그러다 선생님이 하시는 차 동아리에 들어가서 선생님이 차 마실 수 있는 시간 되시면 애들이랑 같이 차 마시러 가고, 보이차에 대해 알려주시고 차 관련해서 계속 배우다보니 저도 한 번 보이차를 사볼까.. 싶었어요. 그래서 대익보이차에서 파는 가장 싼 16,000원짜리 보이차 7572를 시작으로 조금씩 용돈모아 차 마시는 취미 생활을 시작하게 되었습니다.​3. 좋아하시는 차의 종류나 관심을 가지고 있는 분야는?보이차 숙차를 제일 좋아합니다. 아직 보이차는 숙차와 생차로 나뉘고, 오래될수록 비싸고 맛있다! 라는 것만 알고 있어서 보이차에 더 관심을 갖고 배우고 싶습니다.​4. 차 이외에 관심을 가지신 취미나 분야가 있으시다면?요리, 음악​5. 더 자신을 소개하실 게 있으시다면? 카페에 계신 많은 분들에 비해 저는 너무 어리기도 하고.. 아무것도 아는 게 없어서 아직 많이 서툴지만 그래서 많이 배우고 싶습니다! 이번에 지원한 대학에 붙게 되면 차를 계속 공부해서 차동아리도 만들어보고 싶습니다. 잘 부탁드립니다!","[['안녕하세요 잘 부탁드립니다!'], ['웅이님 \n천천히 차문화속으로 빠져보세요~\n넓은세계가 보일 겁니다.\n반갑습니다.^^'], ['잘 부탁드립니다🙇\u200d♀️'], ['안녕하세요 반갑습니다^^'], ['안녕하세요!! 잘 부탁드립니다'], ['반갑습니다~^^'], ['네! 잘 부탁드립니다🥰'], ['반갑습니다'], ['잘 부탁드립니다!😊'], ['반갑습니다~'], ['안녕하세요!!'], ['반갑습니다~'], ['잘 부탁드립니다😄'], ['반가워요'], ['안녕하세요😃'], ['많이 배울수 있어요좋은분들이 엄청 많은곳이거든요반가워요'], ['어서오세요 반갑습니다.'], ['반갑습니다'], ['반갑습니다.']]",2020.11.29. 18:20,요리 + 음악
3,간단요리 라이스페이퍼 떡볶이 (쌀종이 떡볶이) 안먹어본 사람 없었으면 좋겠어요!!! (feat.주말 마무리는 슈베르트와 함께^^),​,"[['와 선매떡볶이 저도 좋아해요! 라이스페이퍼떡볶이는 여행갔을때 만들어봐야겠어요^^'], ['왜 여행가서 만드시나요~~\n롸잇나우!!만들어 드셔보세요ㅋㅋㅋㅋ'], ['일주일에 7떡볶이 하는데, 도전해봐야겠어요!'], ['우와 7떡볶이👍🏻 \n저도 먹으며 이건 매일 먹겠다 했어요 ㅋㅋ'], ['저도 좀 주세요....!^^'], ['이거 맛이 궁금했는데 자세한 캡처 감사합니다. 따라해볼래요^^'], ['쫄깃쫄깃 대박 맛있어요~~'], ['스트링치즈를 말아넣으면 편하다고 합니다~!!'], ['스트링치즈 영상도 봤는데 걍 집에 있던걸로 만들었어요 빨리 소진해야해서~'], ['저도 곧 도전해봐야 겠어요~!!!'], ['정독했어요 꼭 한 번 도전해봐야겠네요^^'], ['맛있게 해서 드세요'], ['오~~~ 저도 해볼래요.사진있는 자세한 설명 감사합니다.'], ['맛있게 해드세요~'], ['쫄깃한거 좋아하는데~꼭 따라 만들어볼랍니다 먹음직스럽게 잘 만드셨네요♡'], ['집떡볶이는 깊은맛이 없어서 싫어하는데,\n저도 쫄깃함 좋아해서 만들어봣는데 대박이었어요 ㅎㅎ'], ['처음보는데 꼭 해먹고싶네요'], ['너무 쉽고 간단해요 꼭 해보세요~'], ['타이밍이 진짜 중요하겠는데요 ㅎ'], ['불 끄기전 딱 5분만!!! 끓였어요~'], ['도전해보겠습니덩 ㅎㅎ'], ['맛있게 드세요~'], ['어머, 이를 어쩌니#.\n핵꿀팁!!\n월남쌈 해먹으려고 산 라이스페퍼.\n쌈 재료 썰고 준비하기 귀찮아..그냥 얼굴에 붙일까 했는데^^\n떡볶이는 무조건 잘 먹는 두 아들에게 바로 해주랍니다~~\n\n복 받으실거예요. 공쥬님^^'], ['ㅋㅋ 얼굴에 왜 붙여요?\n아이들에게 떡만들기 시키면 딱일듯요\n맛있게 드세요~'], ['요즘 유행이던데! 인싸시네요..ㅋ'], ['ㅋㅋ 유튜브 틀면 나와서 한번 해봤어요~'], ['월남쌈 싸먹고 남은 라이스페이퍼를 어떻게 처리해야하나 싶었는데.. 진짜 신기해요~  해먹어봐야겠어요! ㅎㅎ'], ['저두요 집에 남아있는지도 모르고 또 샀었는데 이렇게 먹으면 금방 소진될듯요'], ['오오 떡볶이덕후 라이스페이퍼라니 @.@ 따라해보겠습니다. 츄릅~~'], ['완전 맛있어요~ 꼭 해보세요'], ['꼭 따라해봐야겠어요^^ 넘넘 맛나보여요 ㅎㅎ'], ['집떡볶이 싫어하는데 이건 완맛이었어요 꼭 해보세요 ㅎㅎ'], ['넵^^'], ['인제 저런 제품 나오겠네요.'], ['ㅋㅋㅋ 어느 기업이 내놓을까요'], ['와 진심 떡볶이에 진심이신분같아요 ㅎㅎ'], ['아직도 떡볶이맛집 못찾은게 신의한수 일까요~ㅋㅋ'], ['헉... 엄청 맛있어보여요\n피자치즈 떡 많이 만들어야겠어요\n정보 감사해요~'], ['진~~짜 맛있어요\n피자치즈 양껏 만드세요~~'], ['선릉역 트럭 광명가신거구나ㅜㅜㅜㅜ'], ['트럭없어지고 진선여고앞에 가게 차렸다가 사기 당하시고 광명 가신지 한참 되셨어요~'], ['저 그때 대공님 글 보고 선매떡 가봤는데 가게느낌이 완전 달라졌네요;; 그나저나 쌀종이 떡볶이 팝업스토어좀 열어주세요... 만들자신은 없는데 너무 먹어보고싶...🥺'], ['광명사거리에 버젓한 빌딩 2층에 홀도 넓은곳으로 이전했어요\n쌀종이 팝업은.... 혼자선 버거워욬ㅋㅋ \n이거 30분도 안걸려요 쌀종이 둘둘 말아보셔요~~'], ['요새 핫 한 떡볶이! 귀차니즘으로 만들어 먹진 못하고 눈팅으로만~^^'], ['저 세상 게으름뱅이인데 먹는거 앞에선 세상 부지런해서 ㅎㅎ\n이건 씽크대 더럽힐 일도 없이 후다닥 할수 있어요~'], ['오~떡볶이 덕후인데 함 해봐야겠어요 근데 월남에서 온 라이스 페이퍼 성분에 라이스는 없고 밀가루와 감자전분이더라는... 밀떡맛 날까요??'], ['쌀로는 저런 찰기가 안생기죠~~\n밀떡에 가깝다고 하기도 좀그런...\n쌀종이맛이었어요 ㅎㅎ전분맛인가?'], ['너무 상세한 설명 ㅎ 꼭 해먹어보아야 할것 같네요. 너무 맛있을것 같아요~~^^'], ['전 완전 맛있더라구요~'], ['요즘 너무 맛있다고 소문이 자자한데~ 글 보니 꼭 해봐야겠네요~ㅎㅎ'], ['후다닥 하기도 쉬워요~'], ['오오ㅋㅋ요거 요새 유행인가봅니다. 저도 피자치즈로 한번 해봐야겠어요!'], ['유튜브 틀면 나오는 메뉴 ㅋㅋ 대유행인듯요~'], ['죄송한데 노란 그릇 어디껀지 정보 공개 가능하실까요 넘 이뻐요~~~'], ['유미코 이이호시 라는 브랜드예요\n도쿄랑 오사카에 매장 있어요']]",2021.06.13. 16:31,요리 + 음악
4,리듬 장르별 레시피 작품분석(맛있게 요리하기~♡),"변화되고 있는 교육환경과 쏟아지는 영상 매체속에 귀에 익은 곡들도 바뀌고 티칭도 달라져야하는 시대 레시피 교재들로 점점 멋있고 맛있는음악을 요리 하게 된다같은 곡이라도 리듬 에 따라 변화되고 아티큘레이선에 띠른 질감( 수비토 피아노 , 스타카토/레가토 ) 클래식의 고전과 낭만의 차이처럼 둠칫과 몽글몽글 다른 질감   표현으로  멋진 플레이팅 된 맛있는 음식~^^ 🥗🍝🥩첫박 맞추기 , 2.4 트레이닝 , 셋잇단 리듬 쪼개기🎶🌟인트로에서 듣고싶게 만들어주기 🌟좋은재료 듬뿍 담아주시고 맛있게 요리할수있게 해주셔서 감사드려요 ~ ❤💚","[['변화하는 트렌드에 맞는 티칭을 배워서 레슨할 수 있어서 너무 행복합니다'], ['교재에 담긴 의미를 알고 티칭할수있어 좋네요~^^♡'], ['요즘 글쓰기 연습하시나요? 🤭\n후기가 아주 멋진데요? 👍👍👍'], ['항상 격려해주고  응원해주는  동반자여서 감사해요 ^^'], ['선생님^~*점점 빠져들고 계신것 맞으시죠🙊🙊🙊👍👍👍'], ['네 ~ 샘들 열심히 따라가고 있어요~  ^^♡'], ['멋진 플레이팅~ \n저 또한 열심히 트렌드 따라가려 배우는 중입니다^^'], ['함께 롱~~~런해요 ^^  화이팅요!!!'], ['변화하고 있는 시대에, 선생님들과 함께 나누고 싶은 내용들을 이렇게 기억해주시고 정리해주시니 감사드립니다 ^^ 후기에 기쁨 가득입니다.'], ['감사합니다 ~ 열심히 배우고 잘 티칭할께요 ^^♡']]",2021.01.21. 14:41,요리 + 음악
5,누가 내 샴 마신거야!,외식 꿈을 접고​저녁 메뉴 중​평소 야채를 이렇게 썰어 둬요​한 3-4일은 거뜬​전도 하고볶음도 하고계란 말이에도 넣고,"[['귀신이요 ㅋㅋㅋ'], ['주변에 샴 귀신이 많긴 하죠 ㅋㅋ'], ['좋은저녁시간 보내세용^^부럽습니당'], ['저희 집에도 귀신이 사는지라ㅎㅎ 바닥에 놓여진 와인들 부러워요~~'], ['저 저 솔레라 샴 한번 마셔봐야되는데... 자꾸 까먹네요;'], ['그 귀신이 부럽네요. ㅋㅋ 샴을 쌓아놓구 살고 싶네요.'], ['귀신 ㅎ'], ['걍 돔선생 까버리세요~~~^^'], ['죄쏭해요옹.................힝...................'], ['심증은 있으나 물증이 없는...'], ['샴팡요괴 순간이동설'], ['제가 먹고싶네요 샴샴샴~~~~~'], ['비엔님의 음식은 깔끔하면서 정말 샴과 잘어울릴 듯한 메뉴가 많은 듯해요.그런 음식을 드시니 샴을 마시지 않으실 수가 없겠네요....ㅋㅋ']]",2021.08.24. 17:32,요리 + 음악
6,개점을 앞두고 마무리가 한창인 롯데백화점,"롯데백화점 동탄점이 기존 지하2층~지상6층 규모에서 지하2층~지상8층 규모로 변경되었네요.이에 따라 영업면적도 기존 7만6000㎡에서 9만3958m² 규모로 서울을 제외한 수도권 최대 규모로 전환되었나 봅니다. ​또한, 동탄점은 전국 최초로 지하 2층에 위치한 992m²(300평) 규모의 공간에 4~12세 아이들을 위한 에듀엔터테인먼트 공간인 ‘세서미 스트리트’를 선보이고 세서미 스트리트의 7개의 취미 스튜디오에서는 하루 56개의 원데이 취미 체험 서비스가 운영된다고 합니다. ​특히 유튜브에 관심이 많은 요즘 아이들을 위해 만들어진 ‘플레이존’에서는 직접 방송을 진행해볼 수 있으며 이 밖에도 요리, 음악, 골프 등 다양한 취미 체험을 즐길 수 있다고 하네요. ​키즈 공간 외에도 프리미엄 식품관, 명품관, 테라스 파크 등 다양한 시설을 유치한다고 하니 기대를 많이 하셔도 되겠습니다.​조감도 및 현재 공정 사진",[['']],2021.02.23. 08:29,요리 + 음악
7,LP 하지 말아야 하는 5가지 이유~^ (펌),​,"[['묘한 매력이 있고 가성비와는 거리가 먼, 정성이 필요한게 아날로그이지 않을까 샘각됩니다^^'], ['삶에서 진정 끝장나게 좋았던 것들은 모조리 가성비와 담쌓은 것이었다는..ㅋㅋ 정성어린 댓글 고맙습니다.^^'], ['저도 턴 살까말까 매일 고민중입니다. ㅎㅎ. 시작을 해도 내년에야 시작할 수 있는데 이런 저런 상상만 하고 있습니다. 그리고 아마 시작하더라도 핵심 컬렉션 100장 정도만 LP로 고이 모실듯합니다. 주력은 CD가 되구요.'], ['준비기간이 긴 만큼 복되고 알찬 엘피생활 하실 것 같습니다.^^ 미리 축하드려요~~!!'], ['재미진글 잘봤습니다..ㅋㅋ\n다좋으면 무슨 병인거죠? ㅎㅎㅎ'], ['네, 답도 없고 약도 없는 위중입니다.ㅋㅋ 아, 재미진 글은 아니고 재미진 비됴였습니다.ㅎ'], ['2345해당은 lp는 처다도 안보는1인 ㅋㅋ 결국은 귀차니즘 열정부족임'], ['저는 예전에 발꼬락 담궈 봤습니다. 누가 선물로 갖다 안겨줘도 안 할랍니다.ㅋㅋ'], ['주위에 시작하려고 묻는 분에게는 하지 말라고 적극 말리고 있습니다.ㅎ'], ['저는 부추길랍니다. 그래야 얻어 듣는 호사라도 생기죠~^^ (재주는 곰.. 뭐시기~~ㅎㅎ)'], ['저도 어쩌다보니 집에 턴테이블이 2대나 있지만, LP는 안사고 기존에 있던 50장정도 보관중입니다. 아무래도 노래가 많지 않다보니 결국 오렌더나 CD만 듣게됩니다. 오디오 세팅하면서 비용적으로도 한당에 4만원짜리 LP 50장이면 오렌더 한대사겠다는 계산에 결국 이쪽이 주력이되더라고요. 결국 매니아의 영역이 될거 같아요.'], ['계산 들어가는 순간 답은 이미 정해져 있습니다. 다만 그 계산법이 전혀 안 통하는 골수분분들이 계셔서 큰 화두거리입니다.^^ 매니아와 매니악의 차이는 정말 낫 한 자루네요..ㅎㅎ'], ['허…. 저는 강제적으로 못하고 있는데…\n오히려 다행이라고 생각하면 될까요..ㅠㅠ 앨범들이 겁나 비싸긴합니다. \nhttps://m.cafe.naver.com/audiodudu/405626\n\n하루에 열두번도 취소하고 다른거에 보탤까… 생각하다가도 완전 제일 아끼는 앨범만 돌리거나, 그래도 한번 써보고 후회없이 관둘까도 싶고 그럽니다.ㅎㅎㅎ'], ['만약 안 해 보셨다면, 한 번은 해 볼 만합니다.^^ 신기하잖아요..!!'], ['턴에관심없는1인입니다 20대때 좀하다가 귀찮고 힘들고 cd나오자 마자 lp싹정리하고 턴팔고 계속 cd듣다 몆년전부터 유튜브로 듣구요 지금도 lp는 관심없는 사람이구요 하시는분들보면 요즘은 존경스럽기까지합니다 대단한열정과 사랑아니면 하기힘들거 같아서요'], ['취미 생활은 누구에게나 필요한 거니까요.^^ 시골 사는데 해마다 바이크 족들이 늘어 갑니다. 시끄럽기도 하고 위험하기도 하고 참 이해 안 가는.. 턴 취미는 남들에게 피해 안 주는 착한 놀이죠.ㅎㅎ'], ['맞습니다 살아가는 재미고 활력소죠 하는게 몇가지되다보니 한가지에 집중하기 힘들어서 더 그런거같기도하네요'], ['꼭 한 가지에 꽂힐 필요까지는 없을 것 같아요. 두루두루 팔방미인도 제 눈에는 참 멋져 보이거든요.^^ 엘피 본격적으로 하는 분들 중에 팔방미인은 아마 없을 겁니다.ㅋㅋ'], ['한가지에 전문가가 되는겄도 멋진거같습니다 캠핑도해야되고 서바이벌게임도해야되고 다도모임도 해야되고 하니까 편한쪽으로 가네요'], [""이미 전문가시네요. '인생 요리사~!'ㅎㅎ""], ['좀 재밋게 살려고노력합니다 전 선생님이 부럽습니다'], ['헉, 그건 또 왜 그러시는지..? 제가 뭘 잘못했나요..? 일단 용서부터 구합니다.^^'], ['좋아하는것에대한 열정과 필력이 부러워서요 전 워낙 글을잘못써요 말로풀어가는건 되는데 말을 글로 표현하는게 안되다보니 그렇습니다'], [""두두오 생활 짧지 않게 했지만 첨 들어 보는 호칭에 첨 들어 보는 평가입니다.^^ 매니악이라고 꼬집지 않아 주셔서 고마워요.ㅎㅎ 말 나온 김에, 두두오에 진짜 글빨 죽여주는 분들 이상하리 만큼 많습니다. 저 정말 하루에도 여러번 놀라요.^ 개인적으로 '우최변막'님 최고로 칩니다. 그냥 잘 쓰는 정도가 아니라 문장 하나하나에 시빨이 덕지덕지 뭍어 나와요.ㅋㅋ 많이 읽고 많이 따라해 보고, 뭐 이거 말고 없지 않나요~?ㅎㅎ""], ['지금  이선희 2집 초판본  듣고 있습니다.어린 이선희 너무 좋아요.95년11월25일 지구 레코드판인데  21살 이선희  좋아요.이게 LP매력이 아닐까요. 자켓에 사진보면서  즐깁니다'], ['비디오에 나오듯 ""Staying power""가 엘피의 절대적 매력이지요.^^ 그저 음악으로 그치지 않고 소장인과 인생을 함께 겪는다랄까요..ㅎ 부디 이백년해로하시길 기원 드립니다~~!!'], ['하나하나 맞는 얘기네요.저도 십대때 LP를 경험한 세대라, 하긴하지만 주력도 아니고 자주도 못합니다.가끔 만지는 재미로나 하는것 같습니다. 역시 가장 중요한 오디오파일의 미덕인 열.정. 이 있어야…'], [""'열'나 '정'글정글하게 몰입해야 하지요.^^ 좋게 보면 미덕, 나쁘게 보면 미ㅊㅈ~ㅋㅋ 매니아 소리 들어야 진짜 하는 거라고 봅니다.ㅎ""], ['소리가 훨씬 좋지 않나요? 저음과 다이나믹스에서너무 많은 차이가 나거든요. . .'], ['아날로그는 그야말로 다 담고 있지요.^^ 우리가 음악에서 기대하는 최종 목적이 감동이라면, 모든 정보가 고스란히 들어 있는 엘피를 능가할 감동의 전달 수단은 (라이브 제외하고) 없다고 생각합니다. 다만, 그 쓰디쓴 수고와 비용을 감당할 수 있어야만 달디단 풍족감도 따라 온다고 하네요.ㅎㅎ'], ['재미있는 글 잘 읽었습니다.'], ['재미있는 비디오에 대신 감사를 전달해 드리겠습니다.^^ 함께 즐겨 주셔서 고맙습니다.'], ['십수년전에 장비와 판을 다 처리했는데 처리후에 엄청 속이 시원했던 기억만 있습니다. 누가 공짜로 줘도 다시 들일 생각은 안드네요.'], ['동지 만나서 반갑습니다~~^^'], ['ㅋ 듣는것도 듣는것이지만 LP는 보는 재미도 아주 쏠쏠합니다... 디지털 음원은 들을수만 있지만 LP는 볼수도 있지요 ^^'], ['만질 수도 있지요~^^ 겉, 속, 알맹이, .. ㅋㅋ']]",2021.10.31. 21:15,요리 + 음악
8,🍎신규템 497종 풀카탈 (가구+잡화+벽걸이+천장+요리+벽지+러그) 만지작 OPEN🍏,드디어 신규템 438종 풀카탈을 채우게 되어만지작 섬을 열게 되었습니다! :)​​🍎입맛대로 고르는 만지작 메뉴판🍏​1. 신규템 총 497종 풀카탈 만지작 : 400마일(가구+잡화+벽걸이+천장+요리+음악+벽지+러그)​2. 신규템 총 386종 가구+잡화 풀카탈 만지작 : 300마일(요리 제외 잡화+가구 총 359종의 경우 280마일)​3. 신규템 총 254종 가구 풀카탈 : 250마일​4. 신규템 총 132종 요리 포함 잡화 풀카탈 : 100마일(요리 제외 잡화 총 105종 의 경우 70마일)​5. 신규템 총 47종 벽지+바닥 풀카탈 : 50마일​​이외에도 다른 조합 원하시면 문의해주세요!​​🍎마일대신 1:2 비율로 덩도 받습니다!🍏​​🍎신청 방법🍏1. 댓글로 원하시는 날짜 및 시간 / 원하는 품목을 단다.2. 주대가 확인 후 답댓 및 채팅을 드린다.3. 예약 시간 조율 후 해당 시간에 만지작을 진행한다.,"[['11월 13일 오전 10시 / 일괄'], [''], [''], ['11월 9일 밤 11시/1번'], [''], ['9일 밤 9시 / 1번'], [''], ['13일 오후 3시 / 일괄'], [''], ['9일 가장 늦은 시간대 /일괄'], [''], ['11월 10일 오후 7시 /1번 일괄'], [''], ['9일 (오늘) 아무시간대나 가능 / 일괄'], [''], ['11월 12일 오후 9시 /1번 일괄'], [''], ['9일 지금부터 아무때나 풀카탈요'], [''], ['9일 9시반 OR 10시 / 일괄'], [''], ['9일 12시 / 일괄'], [''], ['9일 아무때나 /1번 풀카탈'], [''], ['9일 아무시간대 / 풀카탈'], [''], ['9일 아무때나 (새벽 넘어가도 괜찮으시다면...)/풀카탈원합니당'], [''], ['10일 밤10시 / 풀카탈'], [''], ['10일 11시 일괄 예약원합니당'], [''], ['11일 저녁 9시 / 일괄'], [''], ['11월10일 오전10시/5번이요'], [''], ['11월 10일 오후 12시 /1번'], [''], [''], ['11월 10일 오후 9시 / 1번 풀카탈'], [''], ['임시 마감하겠습니다'], ['혹시 오늘 3시 이전에 1번 가능하다면 연락 부탁드려요ㅠ'], [''], ['OPEN'], ['10일 오후5시 / 음악 만지작 지금 바로 가능해요!'], [''], ['3번120마일. 11월 13일토요일.오전11시(어려우시면 아무때나)\n그런데..이 잡화에 가구 포함된건가요?'], ['앗 1시간쯤뒤에 채팅드리겠습니다!'], ['채팅 8시에서 9시사이에 주세요'], [''], ['10일 지금이나 오후 8시 / 풀카탈 (1번)가능하다면 연락 부탁드리겠습니다!!'], ['잠시만있다 채팅드릴게요!'], ['넵 천천히 채팅주세요☺️☺️'], ['혹시 오늘 예약 가능한가요?'], [''], ['안녕하세요! 혹시 10시 가능할까요? /풀카탈'], ['제가 오늘은 좀 어렵습니다 ㅜ0ㅠ 내일도 괜찮으시다면 채팅주세요!']]",2021.11.09. 19:46,요리 + 음악
9,음악을듣다 옛생각,늘나는 한분야에 빠지면  파고드는스타일에니음악  직장생활  알바 공부 운동   등산  요리  집안일 등  여동생  말 작은오빠는오타구다  야 그건일본에서1970년 대에 많들어진말이잔어  한국말두있대하니까 그런가 아무튼   너무 파고들지마  한게생각나내요그래두 그때가 그립내요두다리멀쩡해서   당린이였어두   좋았의니까요휴 과일이가 요즘 향수병  이에요  휴 ​,"[['향수병 같이 들어드립니다^^\n\n이것저것 많이 경험\n해보신것 같아용😁'], ['민비글 님  글읽어주셔서 감사합니다'], ['향수병도 괜찮지요~^^행복했던 기억속을 더듬어요..^^추억을 꺼내보아요^^♡과일님 행복한 하루..^^'], ['냅감사해요']]",2021.05.18. 09:57,요리 + 음악
